Voto;Nome;Partido;Estado;Senador
A favor;Aecio Neves;PSDB;MG;1
A favor;Aloysio Nunes Ferreira;PSDB;SP;1
A favor;Alvaro Dias;PV;PR;1
A favor;Ana Amelia;PP;RS;1
A favor;Antonio Anastasia;PSDB;MG;1
A favor;Antonio Carlos Valadares;PSB;SE;1
A favor;Ataides Oliveira;PSDB;TO;1
A favor;Blairo Maggi;PR;MT;1
A favor;Cassio Cunha Lima;PSDB;PB;1
A favor;Dalirio Beber;PSDB;SC;1
A favor;Dario Berger;PMDB;SC;1
A favor;Davi Alcolumbre;DEM;AP;1
A favor;Eduardo Amorim;PSC;SE;1
A favor;Eunicio Oliveira;PMDB;CE;1
A favor;Fernando Bezerra Coelho;PSB;PE;1
A favor;Flexa Ribeiro;PSDB;PA;1
A favor;Garibaldi Alves Filho;PMDB;RN;1
A favor;Gladson Cameli;PP;AC;1
A favor;Ivo Cassol;PP;RO;1
A favor;Jose Agripino;DEM;RN;1
A favor;Jose Maranhao;PMDB;PB;1
A favor;Jose Medeiros;PSD;MT;1
A favor;Jose Serra;PSDB;SP;1
A favor;Lasier Martins;PDT;RS;1
A favor;Lucia Vania;PSB;GO;1
A favor;Magno Malta;PR;ES;1
A favor;Marcelo Crivella;PRB;RJ;1
A favor;Marta Suplicy;PMDB;SP;1
A favor;Omar Aziz;PSD;AM;1
A favor;Paulo Bauer;PSDB;SC;1
A favor;Reguffe;Sem Partido;DF;1
A favor;Ricardo Ferraco;PSDB;ES;1
A favor;Ricardo Franco;DEM;SE;1
A favor;Romario;PSB;RJ;1
A favor;Romero Juca;PMDB;RR;1
A favor;Ronaldo Caiado;DEM;GO;1
A favor;Rose de Freitas;PMDB;ES;1
A favor;Sergio Petecao;PSD;AC;1
A favor;Simone Tebet;PMDB;MS;1
A favor;Tasso Jereissati;PSDB;CE;1
A favor;Valdir Raupp;PMDB;RO;1
A favor;Waldemir Moka;PMDB;MS;1
A favor;Wilder Morais;PP;GO;1
A favor;Zeze Perrella;PTB;MG;1
A favor;Abel Mesquita Jr.;DEM;RR;0
A favor;Adelson Barreto;PR;SE;0
A favor;Adilton Sachetti;PSB;MT;0
A favor;Afonso Hamm;PP;RS;0
A favor;Aguinaldo Ribeiro;PP;PB;0
A favor;Alan Rick;PRB;AC;0
A favor;Alberto Filho;PMDB;MA;0
A favor;Alberto Fraga;DEM;DF;0
A favor;Alceu Moreira;PMDB;RS;0
A favor;Alex Canziani;PTB;PR;0
A favor;Alex Manente;PPS;SP;0
A favor;Alexandre Baldy;PTN;GO;0
A favor;Alexandre Leite;DEM;SP;0
A favor;Alexandre Serfiotis;PMDB;RJ;0
A favor;Alexandre Valle;PR;RJ;0
A favor;Alfredo Kaefer;PSL;PR;0
A favor;Alfredo Nascimento;PR;AM;0
A favor;Altineu Cortes;PMDB;RJ;0
A favor;Anderson Ferreira;PR;PE;0
A favor;Andre Abdon;PP;AP;0
A favor;Andre de Paula;PSD;PE;0
A favor;Andre Fufuca;PP;MA;0
A favor;Andre Moura;PSC;SE;0
A favor;Antonio Bulhoes;PRB;SP;0
A favor;Antonio Imbassahy;PSDB;BA;0
A favor;Antonio Jacome;PTN;RN;0
A favor;Arnaldo Faria de Sa;PTB;SP;0
A favor;Arnaldo Jardim;PPS;SP;0
A favor;Arnaldo Jordy;PPS;PA;0
A favor;Arolde de Oliveira;PSC;RJ;0
A favor;Arthur Lira;PP;AL;0
